idx,batch,type,class,priority,english,garo,confidence,discrepancy_codes,discrepancy_detail,nv_refs,rule_refs,owner_directive,native_cited
22,1,WORD,A,P2,coconut,Narikel,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Narikel'",,,False,False
23,1,WORD,A,P2,watermelon,Te·e raja,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'watermelon' | 2 distinct English glosses under Garo form 'Te·e raja',,,False,False
24,1,WORD,A,P2,lemon,Kakji,unverified,D2,2 distinct English glosses under Garo form 'Kakji',,,False,False
25,1,WORD,A,P2,pomegranate,Dalim,unverified,D2,2 distinct English glosses under Garo form 'Dalim',,,False,False
26,1,PHRASE,A,P2,sugar cane,Ge·rit,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sugar cane' | 2 distinct English glosses under Garo form 'Ge·rit',,,False,False
27,1,WORD,A,P2,tamarind,Che·eng,unverified,D2,2 distinct English glosses under Garo form 'Che·eng',,,False,False
28,1,WORD,A,P2,pear,Naspati,unverified,D2,2 distinct English glosses under Garo form 'Naspati',,,False,False
29,1,PHRASE,A,P2,custard apple,Atapol,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Atapol'",,,False,False
30,1,WORD,A,P2,pomelo,Narang·gira,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'pomelo' | 2 distinct English glosses under Garo form 'Narang·gira',,,False,False
31,1,WORD,A,P2,blackberry,Jam,unverified,D2,4 distinct English glosses under Garo form 'Jam',,,False,False
32,1,WORD,A,P2,grapes,Drakka,unverified,D2,2 distinct English glosses under Garo form 'Drakka',,,False,False
33,1,PHRASE,A,P2,wild berry,Bol·meseng,unverified,D2,2 distinct English glosses under Garo form 'Bol·meseng',,,False,False
34,1,WORD,A,P2,pumpkin,Gominda,verified_high,D2,3 distinct English glosses under Garo form 'Gominda',,,True,False
35,1,WORD,A,P2,potato,Alu,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Alu'",,,False,False
36,1,WORD,A,P2,tomato,Baring belati,verified_high,D2,2 distinct English glosses under Garo form 'Baring belati',,,True,False
37,1,WORD,A,P2,brinjal,Baring,verified_high,D2,3 distinct English glosses under Garo form 'Baring',,,True,False
38,1,PHRASE,A,P2,bottle gourd,Lau,unverified,D2,4 distinct English glosses under Garo form 'Lau',,,False,False
39,1,PHRASE,A,P2,bitter gourd,Karela,unverified,D2,2 distinct English glosses under Garo form 'Karela',,,False,False
40,1,PHRASE,A,P2,bamboo shoot,Me·a,verified_high,D2,3 distinct English glosses under Garo form 'Me·a',NV-155,,False,True
41,1,WORD,A,P2,garlic,Rasin·gipok,verified_high,D2;D10,2 distinct English glosses under Garo form 'Rasin·gipok' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
42,1,WORD,A,P2,ginger,Re·ching,verified_high,D2,2 distinct English glosses under Garo form 'Re·ching',,,True,False
43,1,WORD,A,P2,chilli,Jal·ik,unverified,D2,3 distinct English glosses under Garo form 'Jal·ik',,,False,False
44,1,WORD,A,P2,okra,Dorai,unverified,D2,2 distinct English glosses under Garo form 'Dorai',,,False,False
45,1,WORD,A,P2,cucumber,Te·e,superseded,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'cucumber' | 2 distinct English glosses under Garo form 'Te·e',,,True,True
46,1,PHRASE,A,P2,mustard leaves,Besual,unverified,D2,2 distinct English glosses under Garo form 'Besual',,,False,False
47,1,WORD,A,P2,spinach,Palong·sam,unverified,D2,2 distinct English glosses under Garo form 'Palong·sam',,,False,False
48,1,PHRASE,A,P2,broad beans,Nakap,unverified,D2,2 distinct English glosses under Garo form 'Nakap',,,False,False
49,1,WORD,A,P2,yam,Ta·a,unverified,D2,3 distinct English glosses under Garo form 'Ta·a',,,False,False
50,1,PHRASE,A,P2,sweet potato,Ta·we,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'sweet potato' | 2 distinct English glosses under Garo form 'Ta·we',,,False,False
51,1,WORD,A,P2,colocasia,Thabisa,unverified,D2,2 distinct English glosses under Garo form 'Thabisa',,,False,False
52,1,WORD,A,P2,onion,Rasin,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'onion' | 2 distinct English glosses under Garo form 'Rasin',,,False,False
53,1,WORD,A,P2,cabbage,Kobi,verified_high,D5;D1;D2;D10,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'cabbage' | 2 distinct English glosses under Garo form 'Kobi' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
54,1,WORD,A,P2,cauliflower,Pul kobi,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'cauliflower' | 2 distinct English glosses under Garo form 'Pul kobi',,,False,False
55,1,WORD,A,P2,carrot,Kajol,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'carrot' | 2 distinct English glosses under Garo form 'Kajol',,,False,False
56,1,WORD,A,P2,radish,Mula,unverified,D2,2 distinct English glosses under Garo form 'Mula',,,False,False
57,1,WORD,A,P2,drumstick,Sojona,unverified,D2,2 distinct English glosses under Garo form 'Sojona',,,False,False
58,1,WORD,A,P2,peas,Motor,unverified,D2,2 distinct English glosses under Garo form 'Motor',,,False,False
59,1,WORD,A,P2,love,Ka·saa,superseded,D3;D6;D1;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct Garo forms under English key 'love' | 2 distinct English glosses under Garo form 'Ka·saa'",NV-080,,False,False
60,1,WORD,A,P2,happiness,Kusi,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct English glosses under Garo form 'Kusi'",,,False,False
61,1,WORD,A,P2,sadness,Duk,unverified,D2,2 distinct English glosses under Garo form 'Duk',,,False,False
62,1,WORD,A,P2,anger,Ka·o nanga,unverified,D2,2 distinct English glosses under Garo form 'Ka·o nanga',,,False,False
63,1,WORD,A,P2,fear,Kenani,unverified,D2,2 distinct English glosses under Garo form 'Kenani',,,False,False
64,1,WORD,A,P2,hatred,Mittera,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'hatred' | 2 distinct English glosses under Garo form 'Mittera',,,False,False
65,1,WORD,A,P2,hope,Ka·donga,superseded,D3;D6;D1;D2,"2 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 4 distinct Garo forms under English key 'hope' | 13 distinct English glosses under Garo form 'Ka·donga'",,,False,False
66,1,WORD,A,P2,peace,Tom·tomani,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'peace' | 2 distinct English glosses under Garo form 'Tom·tomani',,,False,False
67,1,WORD,A,P2,trust,Bebe ra·a,unverified,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'trust' | 3 distinct English glosses under Garo form 'Bebe ra·a',,,False,False
68,1,WORD,A,P2,jealousy,Mikboka,unverified,D2,6 distinct English glosses under Garo form 'Mikboka',,,False,False
69,1,WORD,A,P2,shame,Kracha·a,unverified,D2,2 distinct English glosses under Garo form 'Kracha·a',,,False,False
70,1,WORD,A,P2,pride,Gaora,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'pride' | 3 distinct English glosses under Garo form 'Gaora',,,False,False
71,1,WORD,A,P2,surprise,Jagokani,unverified,D2,2 distinct English glosses under Garo form 'Jagokani',,,False,False
72,1,WORD,A,P2,worry,Gisik ding·a,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'worry' | 2 distinct English glosses under Garo form 'Gisik ding·a',,,False,False
73,1,WORD,A,P2,patience,Chakchikani,unverified,D2,5 distinct English glosses under Garo form 'Chakchikani',,,False,False
74,1,WORD,A,P2,mercy,Ka·sachakani,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'mercy' | 2 distinct English glosses under Garo form 'Ka·sachakani',,,False,False
75,1,WORD,A,P2,satisfaction,Chu·ongnika,unverified,D2,2 distinct English glosses under Garo form 'Chu·ongnika',,,False,False
76,1,WORD,A,P2,loneliness,Saksan,unverified,D2,3 distinct English glosses under Garo form 'Saksan',,,False,False
77,1,WORD,A,P2,grateful,Mitela,unverified,D2,2 distinct English glosses under Garo form 'Mitela',,,False,False
78,1,WORD,A,P2,courage,Ka·rakani,unverified,D2,2 distinct English glosses under Garo form 'Ka·rakani',,,False,False
79,1,WORD,A,P2,dog,Achak,verified_high,D2,5 distinct English glosses under Garo form 'Achak',,,True,True
80,1,WORD,A,P2,cat,Menggo,verified_high,D2;D4,2 distinct English glosses under Garo form 'Menggo' | notes declare SUPERSEDED but confidence field does not read 'superseded',NV-071;NV-134;NV-135,,True,True
81,1,WORD,A,P2,cow,Matchu,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'cow' | 2 distinct English glosses under Garo form 'Matchu',,,False,False
82,1,WORD,A,P2,tiger,Matcha,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct English glosses under Garo form 'Matcha'",,,False,False
83,1,WORD,A,P2,deer,Matchok,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Matchok'",,,False,False
84,1,WORD,A,P2,pig,Wak,unverified,D2,2 distinct English glosses under Garo form 'Wak',,,False,False
85,1,WORD,A,P2,goat,Do·bok,verified_high,D5;D1;D2;D4,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'goat' | 2 distinct English glosses under Garo form 'Do·bok' | notes declare SUPERSEDED but confidence field does not read 'superseded',NV-095,,False,False
86,1,WORD,A,P2,horse,Gure,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'horse' | 2 distinct English glosses under Garo form 'Gure',,,False,False
87,1,WORD,A,P2,monkey,Makre,superseded,D5;D1;D2,5 record(s) differ only by english capitalization | 6 distinct Garo forms under English key 'monkey' | 2 distinct English glosses under Garo form 'Makre',,,False,False
88,1,WORD,A,P2,snake,Chipu,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'snake' | 2 distinct English glosses under Garo form 'Chipu',,,False,False
89,1,WORD,A,P2,rat,Mese,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct English glosses under Garo form 'Mese'",,,False,False
90,1,WORD,A,P2,buffalo,Matma,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'buffalo' | 3 distinct English glosses under Garo form 'Matma',,,False,False
91,1,WORD,A,P2,bear,Matmak,verified_high,D5;D1;D2;D8;D10,4 record(s) differ only by english capitalization | 5 distinct Garo forms under English key 'bear' | 2 distinct English glosses under Garo form 'Matmak' | notes explicitly flag an unresolved tension/contradiction | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
92,1,WORD,A,P2,rabbit,Sapau,verified_high,D5;D1;D2;D10,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'rabbit' | 2 distinct English glosses under Garo form 'Sapau' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
93,1,WORD,A,P2,crow,Do·ka,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'crow' | 6 distinct English glosses under Garo form 'Do·ka',NV-080,,False,True
94,1,WORD,A,P2,hen,Do·bit,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'hen' | 2 distinct English glosses under Garo form 'Do·bit',,,False,False
95,1,WORD,A,P2,rooster,Do·bi,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'rooster' | 2 distinct English glosses under Garo form 'Do·bi',,,False,False
96,1,WORD,A,P2,duck,Do·gep,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'duck' | 2 distinct English glosses under Garo form 'Do·gep',NV-080,,False,True
97,1,WORD,A,P2,owl,Do·po,superseded,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'owl' | 2 distinct English glosses under Garo form 'Do·po',NV-080,,False,True
98,1,WORD,A,P2,eagle,Do·reng,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'eagle' | 2 distinct English glosses under Garo form 'Do·reng',,,False,False
99,1,WORD,A,P2,parrot,Do·sik,unverified,D2,2 distinct English glosses under Garo form 'Do·sik',,,False,False
100,1,WORD,A,P2,pigeon,Do·bak,verified_high,D5;D1;D2;D10,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'pigeon' | 2 distinct English glosses under Garo form 'Do·bak' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
101,1,WORD,A,P2,peacock,Do·de,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'peacock' | 2 distinct English glosses under Garo form 'Do·de',,,False,False
102,1,WORD,A,P2,sparrow,Do·matchi,unverified,D2,2 distinct English glosses under Garo form 'Do·matchi',,,False,False
103,1,WORD,A,P2,eat,Cha·a,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 6 distinct English glosses under Garo form 'Cha·a'",,,False,False
104,1,PHRASE,B,,can eat,cha·na man·a,verified_high,,,,,True,False
105,1,PHRASE,B,,need to eat,cha·na nanga,verified_high,,,,,True,False
106,1,PHRASE,D,P2,want to eat,cha·na ska·,superseded,D3;D6;D8,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | notes explicitly flag an unresolved tension/contradiction",NV-153,,True,True
107,1,PHRASE,D,P3,want to eat,cha·na ska,verified_high,D3;D6,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key",NV-089;NV-153,,True,True
108,1,WORD,A,P2,drink,Ringa,verified_high,D3;D6;D2;D4;D10,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 4 distinct English glosses under Garo form 'Ringa' | notes declare SUPERSEDED but confidence field does not read 'superseded' | notes reference a cross-layer (runtime/compile) representation",,,False,False
109,1,WORD,A,P2,sleep,Tusia,superseded,D3;D6;D1;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct Garo forms under English key 'sleep' | 2 distinct English glosses under Garo form 'Tusia'",NV-080,,False,False
110,1,WORD,A,P1,walk,Re·a,verified_high,D5;D1;D2;D7;D4;D8;D10,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'walk' | 4 distinct English glosses under Garo form 'Re·a' | 2 verified_high candidates tied under 'walk' | notes declare SUPERSEDED but confidence field does not read 'superseded' | notes explicitly flag an unresolved tension/contradiction | notes reference a cross-layer (runtime/compile) representation,NV-100,,True,True
111,1,WORD,A,P2,run,Kata,superseded,D3;D2,"1 other record(s) share identical (english,garo) | 3 distinct English glosses under Garo form 'Kata'",NV-094,,False,False
112,1,WORD,A,P2,speak,Agana,unverified,D2,6 distinct English glosses under Garo form 'Agana',,,False,False
113,1,WORD,A,P2,listen,Knachik·bo,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'listen' | 2 distinct English glosses under Garo form 'Knachik·bo',,,False,False
114,1,SENTENCE,A,P2,see / look / watch,Nia,unverified,D2,9 distinct English glosses under Garo form 'Nia',,,False,False
115,1,WORD,A,P2,give,On·a,verified_high,D5;D1;D2;D4,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'give' | 5 distinct English glosses under Garo form 'On·a' | notes declare SUPERSEDED but confidence field does not read 'superseded',,,True,True
116,1,WORD,A,P2,take,Ra·a,superseded,D3;D6;D1;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct Garo forms under English key 'take' | 6 distinct English glosses under Garo form 'Ra·a'",NV-080,,False,False
117,1,WORD,A,P2,work,Dak·a,verified_high,D5;D1;D2;D10,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'work' | 6 distinct English glosses under Garo form 'Dak·a' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
118,1,WORD,A,P2,play,Kal·a,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 6 distinct English glosses under Garo form 'Kal·a'",,,False,False
119,1,WORD,A,P2,stand,Chadenga,verified_high,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'stand' | 5 distinct English glosses under Garo form 'Chadenga',NV-091,,True,True
120,1,WORD,A,P2,cry,Grap·a,unverified,D2,8 distinct English glosses under Garo form 'Grap·a',,,False,False
121,1,WORD,A,P2,buy,Brea,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 4 distinct English glosses under Garo form 'Brea'",,,False,False
122,1,WORD,A,P2,sell,Pala,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 5 distinct English glosses under Garo form 'Pala'",,,False,False
123,1,WORD,A,P2,come,Re·ba·a,verified_high,D2,2 distinct English glosses under Garo form 'Re·ba·a',NV-093,,True,True
124,1,WORD,A,P2,go,Re·anga,superseded,D5;D1;D2;D8;D10,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'go' | 4 distinct English glosses under Garo form 'Re·anga' | notes explicitly flag an unresolved tension/contradiction | notes reference a cross-layer (runtime/compile) representation,NV-100,,False,True
125,1,WORD,A,P2,son,Depante,superseded,D3;D6;D1;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct Garo forms under English key 'son' | 2 distinct English glosses under Garo form 'Depante'",,,False,False
126,1,WORD,A,P2,daughter,Demechik,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Demechik'",,,False,False
127,1,WORD,A,P2,grandfather,Abi·tang,superseded,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'grandfather' | 3 distinct English glosses under Garo form 'Abi·tang',,,False,False
128,1,WORD,A,P2,grandmother,Ambichang,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'grandmother' | 2 distinct English glosses under Garo form 'Ambichang',,,False,False
129,1,PHRASE,A,P2,elder brother,Ada,unverified,D2,4 distinct English glosses under Garo form 'Ada',,,False,False
130,1,PHRASE,A,P2,elder sister,Abi,unverified,D2,4 distinct English glosses under Garo form 'Abi',,,False,False
131,1,PHRASE,A,P2,younger sibling,Jong / No,unverified,D2,2 distinct English glosses under Garo form 'Jong / No',,,False,False
132,1,WORD,A,P2,uncle,Mama / Pabok,unverified,D2,2 distinct English glosses under Garo form 'Mama / Pabok',,,False,False
133,1,WORD,A,P2,aunt,Mani,unverified,D2,4 distinct English glosses under Garo form 'Mani',,,False,False
134,1,WORD,A,P2,friend,Ripeng,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'friend' | 2 distinct English glosses under Garo form 'Ripeng',,,False,False
135,1,WORD,A,P2,head,Sko,unverified,D2,2 distinct English glosses under Garo form 'Sko',,,False,False
136,1,WORD,A,P2,eye,Mikron,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'eye' | 2 distinct English glosses under Garo form 'Mikron',,,False,False
137,1,WORD,A,P2,ear,Nachil,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Nachil'",,,False,False
138,1,WORD,A,P2,nose,Gingting,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'nose' | 2 distinct English glosses under Garo form 'Gingting',,,False,False
139,1,WORD,A,P2,mouth,Ku·sik,verified_high,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 3 distinct English glosses under Garo form 'Ku·sik'",NV-067,,True,True
140,1,WORD,A,P2,hand,Jak,unverified,D2,3 distinct English glosses under Garo form 'Jak',,,False,False
141,1,WORD,A,P2,leg,Ja·a,superseded,D5;D1;D2,4 record(s) differ only by english capitalization | 5 distinct Garo forms under English key 'leg' | 2 distinct English glosses under Garo form 'Ja·a',,,False,False
142,1,WORD,A,P2,hair,Kni,unverified,D2,2 distinct English glosses under Garo form 'Kni',,,False,False
143,1,WORD,A,P2,stomach,Ok,verified_high,D5;D1;D2;D10,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'stomach' | 2 distinct English glosses under Garo form 'Ok' | notes reference a cross-layer (runtime/compile) representation,NV-080,,False,True
144,1,WORD,A,P2,teeth,Wagam,unverified,D2,3 distinct English glosses under Garo form 'Wagam',,,False,False
145,1,WORD,A,P2,tongue,Sre,unverified,D2,2 distinct English glosses under Garo form 'Sre',,,False,False
146,1,WORD,A,P2,skin,Bigil,superseded,D3;D6;D1;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct Garo forms under English key 'skin' | 3 distinct English glosses under Garo form 'Bigil'",NV-080,,False,False
147,1,WORD,A,P2,heart,Ka·tong,superseded,D3;D6;D1;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct Garo forms under English key 'heart' | 2 distinct English glosses under Garo form 'Ka·tong'",NV-080,,False,False
148,1,WORD,A,P2,red,Gitchak,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Gitchak'",,,False,False
149,1,WORD,A,P2,white,Gipok,superseded,D5;D1;D2,3 record(s) differ only by english capitalization | 4 distinct Garo forms under English key 'white' | 2 distinct English glosses under Garo form 'Gipok',NV-080,,False,True
150,1,WORD,A,P2,black,Gisim,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Gisim'",,,False,False
151,1,WORD,A,P2,green,Tangsek,superseded,D5;D1;D2,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'green' | 2 distinct English glosses under Garo form 'Tangsek',NV-080,,False,True
152,1,WORD,A,P2,blue,Tang·sim,superseded,D5;D1;D2,1 record(s) differ only by english capitalization | 2 distinct Garo forms under English key 'blue' | 2 distinct English glosses under Garo form 'Tang·sim',,,False,False
153,1,WORD,A,P2,yellow,Rimit,superseded,D3;D6;D2,"1 other record(s) share identical (english,garo) | raka/orthography-only Garo variant under same English key | 2 distinct English glosses under Garo form 'Rimit'",,,False,False
154,1,WORD,A,P2,one,Sa,verified_high,D2,4 distinct English glosses under Garo form 'Sa',,,True,False
155,1,WORD,A,P2,two,Gni,verified_high,D5;D1;D2;D4;D8,2 record(s) differ only by english capitalization | 3 distinct Garo forms under English key 'two' | 3 distinct English glosses under Garo form 'Gni' | notes declare SUPERSEDED but confidence field does not read 'superseded' | notes explicitly flag an unresolved tension/contradiction,NV-138;NV-149;NV-150,,True,True
156,1,WORD,A,P2,three,Gittam,verified_high,D2,3 distinct English glosses under Garo form 'Gittam',,,True,False
157,1,WORD,A,P2,four,Bri,verified_high,D2,4 distinct English glosses under Garo form 'Bri',,,True,False
