cluster_id,normalized_english,row_index,english,garo,confidence,category,pos,classifier,duplicate_kind,notes
"6","orange","15","orange","Narang","verified_high","general","","","multiple-Garo candidate group","VERIFIED/HIGH — Project Owner directive (2026-09-08, .ai/PROJECT_OWNER_DIRECTIVE_PROTOCOL.json schema 2026-09-08.2): 'Narang' is the Owner-directed canonical form for 'orange', orthographically identical to the pre-existing verified_high 'na·rang' (idx 3479, raka-dot/case variant, cleans identically at compile). Un-superseded (was SUPERSEDED 2026-08-01 corpus-internal audit; that audit predates and is overridden by this directive)."
"6","orange","2905","Orange","ko·mil·a","verified_high","food","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"6","orange","2906","Orange","na·rang","verified_high","food","","","multiple-Garo candidate group","variant/VERIFIED/HIGH | Cross-ref 2026-09-08: same lexical item as the Owner-directed canonical 'Narang' (idx 17/2625) — orthographic/case variant, not a distinct word."
"6","orange","6284","orange","a·mnk","superseded","food","","","multiple-Garo candidate group","SUPERSEDED — Project Owner directive (2026-09-08, .ai/PROJECT_OWNER_DIRECTIVE_PROTOCOL.json schema 2026-09-08.2): canonical active representation for 'orange' is now 'Narang' (idx 17). 'a·mnk' had no cited source beyond a bare 'doc7' tag and is retained per citation discipline, not deleted; older verified_high status does not veto the Owner directive per owner_directive_precedence."
"7","papaya","17","papaya","Modu","superseded","general","","","multiple-Garo candidate group","SUPERSEDED (duplicate row) — native relay NV-080 (2026-08-17): same word as the now-VERIFIED 'mo·du' row for 'papaya', differs only in capitalization/spelling. Retained per citation discipline, not deleted, but not a second independent candidate."
"7","papaya","2918","Papaya","mo·du","superseded","food","","","multiple-Garo candidate group","VERIFIED/HIGH — native-confirmed 2026-08-17 (Thangseng relay, pickPrimary consolidated batch, NV-080). | SUPERSEDED 2026-09-08 — Project Owner directive (2026-09-08, .ai/PROJECT_OWNER_DIRECTIVE_PROTOCOL.json schema 2026-09-08.2): Owner's final decision is 'papaya'->'Modupol', overriding this NV-080 native-confirmed evidence per owner_directive_precedence (documented, not deleted, not vetoing the directive)."
"7","papaya","2919","Papaya","pe·pe","superseded","food","","","multiple-Garo candidate group","SUPERSEDED — native relay NV-080 (2026-08-17): not selected; native-confirmed form for 'papaya' is 'mo·du'. Retained per citation discipline, not deleted."
"7","papaya","9487","papaya","Modupol","verified_high","food","","","multiple-Garo candidate group","VERIFIED/HIGH — Project Owner directive (2026-09-08, .ai/PROJECT_OWNER_DIRECTIVE_PROTOCOL.json schema 2026-09-08.2): Owner-directed canonical form for 'papaya'. Not present in the searched repository occurrence map prior to this directive; conflicting prior evidence (mo·du, NV-080) documented at idx 3491, not allowed to veto this decision."
"8","jackfruit","18","jackfruit","Te·brong","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'jackfruit' has VERIFIED/HIGH form(s) ['te·brong']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"8","jackfruit","2808","Jackfruit","te·brong","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"9","mango","19","mango","Te·gachu","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — 2026-09-16, Claude B: demoted again. Was VERIFIED/HIGH per an Owner direct-chat instruction earlier the same day (""Te·gachu is right word, correct it across repo"", no Thangseng reference given) that itself reversed the 2026-09-08 PROJECT_OWNER_DIRECTIVE_PROTOCOL.json decision and the 2026-08-01 corpus audit before it. Superseded again the same day by a live Thangseng citation relayed by the Project Owner in chat: ""te·gatchu final answer"" — which independently matches the pre-existing NV-048/RULE-038 cross-reference at the sibling 'Mango'->te·ga·chu row (that row's own note already identified its intended value as ""te·gatchu"" from Thangseng's original rong-classifier example, despite the stored string itself having already drifted to 'te·ga·chu'). See the new 'mango'->te·gatchu row for the current canonical form."
"9","mango","2859","mango","te·gatchu","verified_high","food","","","multiple-Garo candidate group","VERIFIED/HIGH — Native (Thangseng)-cited, relayed by Project Owner in chat 2026-09-16, explicit final answer: ""te·gatchu"". Matches the sibling 'Mango'->te·ga·chu row's own NV-048/RULE-038 cross-reference, which already identified its intended value as ""te·gatchu"" from Thangseng's original rong-classifier example. This is the canonical form; both 'Te·gachu' (unsourced same-day Owner chat instruction) and 'te·ga·chu' (2026-08-01 corpus audit / 2026-09-08 directive) are superseded."
"10","coconut","21","coconut","Narikel","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'coconut' has VERIFIED/HIGH form(s) ['na·ri·kel']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"10","coconut","2648","Coconut","na·ri·kel","verified_high","food","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"11","watermelon","22","watermelon","Te·e raja","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'watermelon' has VERIFIED/HIGH form(s) ['tor·mus']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"11","watermelon","3156","Watermelon","tor·mus","verified_high","food","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"12","sugar cane","25","sugar cane","Ge·rit","superseded","food","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'sugar cane' has VERIFIED/HIGH form(s) ['grit']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"12","sugar cane","3090","Sugar Cane","grit","verified_high","food","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"13","custard apple","28","custard apple","Atapol","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'custard apple' has VERIFIED/HIGH form(s) ['a·ta·pol']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"13","custard apple","2669","Custard Apple","a·ta·pol","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"14","pomelo","29","pomelo","Narang·gira","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'pomelo' has VERIFIED/HIGH form(s) ['jam·bu·ra']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"14","pomelo","2945","Pomelo","jam·bu·ra","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"15","potato","34","potato","Alu","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'potato' has VERIFIED/HIGH form(s) ['al·u']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"15","potato","6297","potato","al·u","verified_high","food","","","multiple-Garo candidate group","VERIFIED/HIGH/doc7"
"16","cucumber","44","cucumber","Te·e","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — Project Owner directive docs/PROJECT_OWNER_CUCUMBER_AND_OPEN_ITEMS_20260909.json (2026-09-09): only 'temit' may remain active for english key 'cucumber' unless a future form is explicitly introduced by the Project Owner or Thangseng. Previously VERIFIED/HIGH (so·sra) / already-superseded (Te·e); retained per citation discipline, not deleted. Not authoritative for compile."
"16","cucumber","2664","Cucumber","so·sra","superseded","uncategorized","","","multiple-Garo candidate group","SUPERSEDED — Project Owner directive docs/PROJECT_OWNER_CUCUMBER_AND_OPEN_ITEMS_20260909.json (2026-09-09): only 'temit' may remain active for english key 'cucumber' unless a future form is explicitly introduced by the Project Owner or Thangseng. Previously VERIFIED/HIGH (so·sra) / already-superseded (Te·e); retained per citation discipline, not deleted. Not authoritative for compile."
"16","cucumber","2665","cucumber","temit","verified_high","general","","","multiple-Garo candidate group","Added per Project Owner directive docs/PROJECT_OWNER_CUCUMBER_AND_OPEN_ITEMS_20260909.json (2026-09-09): canonical/VERIFIED form for english key 'cucumber'. so·sra and Te·e suspended in the same pass."
"17","sweet potato","49","sweet potato","Ta·we","superseded","food","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'sweet potato' has VERIFIED/HIGH form(s) ['ta·mil·ang']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"17","sweet potato","3094","Sweet Potato","ta·mil·ang","verified_high","food","","","multiple-Garo candidate group","variant/VERIFIED/HIGH — provenance recorded 2026-09-08 as Project Owner directive (2026-09-08, .ai/PROJECT_OWNER_DIRECTIVE_PROTOCOL.json schema 2026-09-08.2) (no prior citation existed)."
"18","onion","51","onion","Rasin","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'onion' has VERIFIED/HIGH form(s) ['ro·sun git·chak']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"18","onion","2901","Onion","ro·sun git·chak","verified_high","food","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"19","cabbage","52","cabbage","Kobi","verified_high","general","","","multiple-Garo candidate group","VERIFIED/HIGH — native-confirmed 2026-08-17 (Thangseng relay, pickPrimary consolidated batch, NV-080)."
"19","cabbage","2614","Cabbage","ba·da ko·pi","superseded","food","","","multiple-Garo candidate group","SUPERSEDED — native relay NV-080 (2026-08-17): not selected; native-confirmed form for 'cabbage' is 'Kobi'. Retained per citation discipline, not deleted."
"19","cabbage","2615","Cabbage","bi·jak ko·pi","superseded","food","","","multiple-Garo candidate group","SUPERSEDED — native relay NV-080 (2026-08-17): not selected; native-confirmed form for 'cabbage' is 'Kobi'. Retained per citation discipline, not deleted."
"20","cauliflower","53","cauliflower","Pul kobi","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'cauliflower' has VERIFIED/HIGH form(s) ['pul·ko·pi']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"20","cauliflower","2620","Cauliflower","pul·ko·pi","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"21","carrot","54","carrot","Kajol","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'carrot' has VERIFIED/HIGH form(s) ['ga·jur']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"21","carrot","2616","Carrot","ga·jur","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"22","love","58","love","Ka·saa","superseded","emotions","","","multiple-Garo candidate group","SUPERSEDED (duplicate row) — native relay NV-080 (2026-08-17): same word as the now-VERIFIED 'ka·sa·a' row for 'love', differs only in capitalization/spelling. Retained per citation discipline, not deleted, but not a second independent candidate."
"22","love","2856","Love","ka·sa·a","verified_high","uncategorized","","","multiple-Garo candidate group","VERIFIED/HIGH — native-confirmed 2026-08-17 (Thangseng relay, pickPrimary consolidated batch, NV-080)."
"22","love","2857","Love","mik·cha·a","superseded","uncategorized","","","multiple-Garo candidate group","SUPERSEDED — native relay NV-080 (2026-08-17): not selected; native-confirmed form for 'love' is 'ka·sa·a'. Retained per citation discipline, not deleted."
"23","happiness","59","happiness","Kusi","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'happiness' has VERIFIED/HIGH form(s) ['ku·si']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"23","happiness","2781","Happiness","ku·si","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"24","hatred","63","hatred","Mittera","unverified","general","","","multiple-Garo candidate group",""
"24","hatred","8082","hatred","Bobil daka","ocr_flagged","","n.","","multiple-Garo candidate group","[OCR-flagged for review: ocr_confidence=High] Extraneous period before 'spite'."
"25","hope","64","hope","Ka·donga","superseded","emotions","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'hope' has VERIFIED/HIGH form(s) ['a·sa', 'ka·donga', 'mik·sok·a']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"25","hope","2795","Hope","a·sa","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"25","hope","2796","Hope","ka·donga","verified_high","uncategorized","v.","","multiple-Garo candidate group","VERIFIED/HIGH — POS clarified NV-082 (2026-08-19, Thangseng relay via Tridip): this is specifically the VERB 'to hope'. See separate 'hope'/'ka·dongani' entry for the NOUN form — distinct part of speech, not a competing value. Mirrors NV-077 answer pattern."
"25","hope","2797","Hope","mik·sok·a","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"25","hope","7976","Hope","Ka·donga","superseded","","n.","","multiple-Garo candidate group","SUPERSEDED — 2026-08-16, Claude A, full-corpus dedup audit: redundant OCR import, same value as already-VERIFIED 'Hope'->'ka·donga' entry (idx 3371, part of the 3-way a·sa/ka·donga/mik·sok·a variant set). Retained per citation discipline, not deleted. Was: [OCR-flagged for review: ocr_confidence=High]"
"25","hope","9185","hope","ka·dongani","verified_high","emotions","n.","","multiple-Garo candidate group","VERIFIED/HIGH — NV-082, Thangseng relay via Tridip, 2026-08-19 (""hope = ka'dongani (noun); to hope = ka'donga (verb)""). Mirrors the NV-077 answer POS-split pattern: ka·dongani is the NOUN, ka·donga is the VERB — coexist as distinct-POS entries, not competing values. See 'Hope'/'ka·donga' entry, POS-clarified accordingly."
"26","peace","65","peace","Tom·tomani","superseded","emotions","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'peace' has VERIFIED/HIGH form(s) ['Tom·toma']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"26","peace","2923","Peace","Tom·toma","verified_high","uncategorized","","","multiple-Garo candidate group","VERIFIED/HIGH v:Tom·tomani"
"27","trust","66","trust","Bebe ra·a","unverified","general","","","multiple-Garo candidate group",""
"27","trust","7736","trust","Ka·donga","ocr_flagged","","v.","","multiple-Garo candidate group","[OCR-flagged for review: ocr_confidence=High]"
"28","pride","69","pride","Gaora","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'pride' has VERIFIED/HIGH form(s) ['ra·song']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"28","pride","2959","Pride","ra·song","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"29","worry","71","worry","Gisik ding·a","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'worry' has VERIFIED/HIGH form(s) ['sim·bra·a']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"29","worry","3188","Worry","sim·bra·a","verified_high","uncategorized","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"30","mercy","73","mercy","Ka·sachakani","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'mercy' has VERIFIED/HIGH form(s) ['Kema']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"30","mercy","2861","Mercy","Kema","verified_high","church","","","multiple-Garo candidate group","VERIFIED/HIGH v:Ka·sachakani"
"31","cow","80","cow","Matchu","superseded","animals","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'cow' has VERIFIED/HIGH form(s) ['ma·su']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"31","cow","2657","Cow","ma·su","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"32","tiger","81","tiger","Matcha","superseded","animals","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'tiger' has VERIFIED/HIGH form(s) ['mat·cha']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"32","tiger","3129","Tiger","mat·cha","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"33","deer","82","deer","Matchok","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'deer' has VERIFIED/HIGH form(s) ['mat·chok']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"33","deer","2679","Deer","mat·chok","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"34","goat","84","goat","Do·bok","verified_high","animals","","","multiple-Garo candidate group","RECONFIRMED — direct native correction, 2026-08-07: overrides prior corpus-internal-audit SUPERSEDED flag (2026-08-01). Native confirms 'Do·bok'/'dobok' as final/correct for goat. Reconfirmed again via NV-095 (2026-08-23 final reconciliation relay); confidence field explicitly set (was previously untagged despite RECONFIRMED note)."
"34","goat","2759","Goat","do·omok","superseded","animals","","","multiple-Garo candidate group","SUPERSEDED — direct native correction, 2026-08-07: native gave final confirmation 'goat'='Do·bok'/'dobok', overriding this entry's prior variant/VERIFIED/HIGH tag. Not authoritative for compile; retained per citation discipline, not deleted. May still be a valid register/dialect variant rather than an outright error — flagging for Claude A review, not asserting this form is definitively wrong."
"35","horse","85","horse","Gure","superseded","animals","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'horse' has VERIFIED/HIGH form(s) ['go·ra']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"35","horse","2800","Horse","go·ra","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"36","monkey","86","monkey","Makre","superseded","animals","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'monkey' has VERIFIED/HIGH form(s) ['a·mak', 'ha·mak', 'ha·mak rang·gol', 'mak·kre', 'rang·gol']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"36","monkey","2866","Monkey","ha·mak","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"36","monkey","2867","Monkey","mak·kre","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"36","monkey","2868","Monkey","rang·gol","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"36","monkey","6169","monkey","ha·mak rang·gol","unverified","animals","","","multiple-Garo candidate group","UNVERIFIED/HIGH v:ha-mak / mak-kre / rang-gol"
"36","monkey","6269","monkey","a·mak","verified_high","animals","","","multiple-Garo candidate group","VERIFIED/HIGH/doc7"
"37","snake","87","snake","Chipu","superseded","animals","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'snake' has VERIFIED/HIGH form(s) ['chip·pu']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"37","snake","3050","Snake","chip·pu","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"38","rat","88","rat","Mese","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'rat' has VERIFIED/HIGH form(s) ['me·se']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"38","rat","2981","Rat","me·se","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"39","buffalo","89","buffalo","Matma","superseded","general","","","multiple-Garo candidate group","SUPERSEDED — corpus-internal audit 2026-08-01 (Claude A): legacy unannotated import, same english key 'buffalo' has VERIFIED/HIGH form(s) ['mo·si']. Not authoritative for compile; retained per citation discipline, not deleted. Compile pipeline does not yet apply confidence precedence — see handoff to Claude B."
"39","buffalo","2606","Buffalo","mo·si","verified_high","animals","","","multiple-Garo candidate group","variant/VERIFIED/HIGH"
"40","bear","90","bear","Matmak","verified_high","general","","","multiple-Garo candidate group","Native-confirmed 2026-08-17 (Thangseng relay, NV-080), confidence VERIFIED/HIGH: 'bear' the ANIMAL = Matmak. (The carry/endure VERB sense of 'bear' is a separate, still-open question — see ba·a/mak·bil/nang·a entries, unresolved. Flagged for Claude B: this key is polysemous and pickPrimary can't distinguish noun vs verb sense here.)"
"40","bear","2573","Bear","ba·a","open","animals","","","multiple-Garo candidate group","OPEN — native relay NV-080 (2026-08-17) explicitly did NOT confirm or reject this candidate for the carry/endure VERB sense of 'bear' (distinct from the animal, now confirmed as Matmak). Still a genuine open candidate, not superseded."
"40","bear","2574","Bear","mak·bil","open","animals","","","multiple-Garo candidate group","OPEN — native relay NV-080 (2026-08-17) explicitly did NOT confirm or reject this candidate for the carry/endure VERB sense of 'bear' (distinct from the animal, now confirmed as Matmak). Still a genuine open candidate, not superseded."
"40","bear","2575","Bear","nang·a","open","animals","","","multiple-Garo candidate group","OPEN — native relay NV-080 (2026-08-17) explicitly did NOT confirm or reject this candidate for the carry/endure VERB sense of 'bear' (distinct from the animal, now confirmed as Matmak). Still a genuine open candidate, not superseded."
"40","bear","9195","Bear","ka·a chak","open","animals","","","multiple-Garo candidate group","OPEN — new candidate, native relay NV-085 (2026-08-20, Thangseng WhatsApp transcript letter L, item 27): 'ka'a chakna amja = cannot bear or tolerate' (fairly confident, not hedged, unlike items 28-30 in same letter which Thangseng explicitly flagged as unconfirmed). This is indirect: answers a 'cannot bear/tolerate' example sentence, not a direct 'what is the verb bear?' question. Adds to, does not resolve, the existing open candidate set (ba·a / mak·bil / nang·a, all still OPEN from NV-080). Recommended follow-up: ask directly whether 'ka'a chak' (or infinitive 'ka'a chakna') is the headword for bear/tolerate/endure, and how it relates to ba·a/mak·bil/nang·a."
"41","rabbit","91","rabbit","Sapau","verified_high","general","","","multiple-Garo candidate group","VERIFIED/HIGH — native-confirmed 2026-08-17 (Thangseng relay, pickPrimary consolidated batch, NV-080)."
"41","rabbit","2975","Rabbit","kor·gus","superseded","animals","","","multiple-Garo candidate group","SUPERSEDED — native relay NV-080 (2026-08-17): not selected; native-confirmed form for 'rabbit' is 'Sapau'. Retained per citation discipline, not deleted."
"41","rabbit","2976","Rabbit","pui·ta","superseded","animals","","","multiple-Garo candidate group","SUPERSEDED — native relay NV-080 (2026-08-17): not selected; native-confirmed form for 'rabbit' is 'Sapau'. Retained per citation discipline, not deleted."
